Title,Length of Song,Artist Name,Album,Genre,Star,Plays,Release Date,Year,Skips,Last Played,Date Added To Library
Cherry Bomb,2:17,The Runaways,Bad Reputation (Music from the Original Motion Picture),Rock,0,3,01/01/1976,1976,6,"01/07/2024, 7:59 AM","11/10/2022, 5:33 PM"
Chogada,4:10,Darshan Raval & Asees Kaur,Loveyatri - A Journey of Love (Original Motion Picture Soundtrack),Bollywood,1,4,14/08/2018,2018,9,"27/12/2023, 8:32 AM","31/08/2020, 10:30 AM"
Chor Bazari,4:17,Neeraj Shridhar & Sunidhi Chauhan,Love Aaj Kal (Original Motion Picture Soundtrack),Bollywood,1,2,31/07/2009,2009,7,"30/07/2023, 9:30 AM","09/09/2020, 10:40 AM"
Chota Sa Fasana,4:04,Arijit Singh,Karwaan (Original Motion Picture Soundtrack),Bollywood,0,9,10/07/2018,2018,9,"18/09/2024, 12:45 PM","28/02/2021, 1:13 AM"
Cinderella Man,4:39,Eminem,Recovery (Deluxe Edition),Hip-Hop/Rap,1,6,18/06/2010,2010,15,"16/09/2024, 8:33 AM","10/09/2020, 11:50 AM"
Circles,3:35,Post Malone,Hollywood's Bleeding,Hip-Hop/Rap,1,32,30/08/2019,2019,15,"09/07/2023, 8:53 PM","05/08/2020, 11:15 PM"
Closer (feat. Halsey),4:05,The Chainsmokers,Closer (feat. Halsey) - Single,Dance,1,12,29/07/2016,2016,11,"29/09/2024, 8:26 AM","07/08/2020, 12:00 PM"
"Club Can't Handle Me (feat. David Guetta) [From ""Step Up 3D""]",3:53,Flo Rida,Club Can't Handle Me - Single,Hip-Hop/Rap,1,1,28/06/2010,2010,10,"15/05/2023, 7:18 AM","07/08/2020, 12:51 AM"
Cold (feat. Future),3:54,Maroon 5,Red Pill Blues (Deluxe),Pop,1,6,14/02/2017,2017,8,"19/10/2023, 12:30 PM","06/08/2020, 9:58 PM"
Cold Wind Blows,5:04,Eminem,Recovery (Deluxe Edition),Hip-Hop/Rap,0,,18/06/2010,2010,1,,"22/06/2024, 8:07 AM"
Colorado,2:58,Florida Georgia Line,Can't Say I Ain't Country,Country,1,6,31/05/2018,2018,13,"23/06/2024, 10:07 AM","05/08/2020, 11:03 PM"
Come and Get Your Love (Re-Recorded),3:28,Redbone,The Best of Redbone - Come and Get Your Love,Rock,1,3,01/01/1976,1976,7,"28/06/2024, 6:46 AM","05/02/2021, 11:53 PM"
Come Get It Bae,3:22,Pharrell Williams,G I R L (Japan Version),Pop,0,1,03/03/2014,2014,,"17/08/2024, 8:42 AM","20/07/2024, 12:38 PM"
comethru,3:02,Jeremy Zucker,"summer, - EP",Pop,1,8,28/09/2018,2018,10,"15/09/2023, 7:37 AM","20/12/2020, 9:16 PM"
Coming Back for You,3:47,Maroon 5,V (Deluxe),Pop,1,5,29/08/2014,2014,7,"29/09/2024, 8:30 AM","28/12/2020, 9:42 AM"
Coming Home (feat. Skylar Grey),3:59,Diddy - Dirty Money,Last Train to Paris (Deluxe Version),Hip-Hop/Rap,0,2,14/12/2010,2010,7,"07/09/2024, 7:42 AM","15/04/2021, 2:32 PM"
Congratulations (feat. Quavo),3:40,Post Malone,The Diamond Collection (Deluxe),Hip-Hop/Rap,0,5,04/11/2016,2016,2,"27/03/2024, 9:21 AM","11/11/2023, 7:46 AM"
Connection,2:28,OneRepublic,Connection - Single,Pop,1,6,26/06/2018,2018,9,"04/12/2023, 4:26 PM","06/08/2020, 9:01 PM"
Cool Again,2:45,Kane Brown,"Mixtape, Vol. 1 - EP",Country,1,6,23/04/2020,2020,10,"25/04/2024, 5:29 PM","14/08/2020, 1:38 PM"
Cool Again,3:12,Shoffy,Lenses,Pop,0,,12/10/2018,2018,,,"03/03/2023, 7:49 PM"
Cooler Than Me (Single Mix),3:33,Mike Posner,31 Minutes to Takeoff,Pop,1,6,05/04/2010,2010,6,"08/10/2024, 7:48 AM","06/08/2020, 12:30 AM"
Count On Me,3:17,Bruno Mars,Doo-Wops & Hooligans (Deluxe Version),Pop,1,3,04/10/2010,2010,6,"04/09/2024, 10:04 PM","10/09/2020, 11:54 AM"
Counting Stars,4:17,OneRepublic,Native,Pop,1,4,14/06/2013,2013,7,"19/09/2024, 10:03 AM","06/08/2020, 9:01 PM"
Country Girl (Shake It For Me),3:46,Luke Bryan,Tailgates & Tanlines,Country,0,1,14/03/2011,2011,1,"03/09/2024, 7:34 AM","18/07/2024, 10:13 PM"
Criminal,5:07,"Akon, Vishal Dadlani & Shruti Pathak",Ra-One (Original Motion Picture Soundtrack),Bollywood,0,4,12/09/2011,2011,15,"04/12/2022, 11:00 AM","08/01/2021, 7:13 PM"
Cruise,3:31,Florida Georgia Line,Here's to the Good Times,Country,0,,01/04/2012,2012,3,,"18/07/2024, 10:13 PM"
DADDY (feat. CL),3:51,PSY,PSY 7TH ALBUM,Pop,0,2,30/11/2015,2015,1,"12/09/2024, 7:39 AM","04/09/2024, 7:13 PM"
Daku (feat. Inderpal Moga),2:11,Chani Nattan,Daku (feat. Inderpal Moga) - Single,Worldwide,1,26,16/01/2021,2021,3,"01/10/2024, 7:42 AM","19/01/2023, 10:44 AM"
Dancer,3:02,Flo Rida,Dancer - Single,Hip-Hop/Rap,1,11,02/03/2018,2018,9,"27/07/2024, 6:44 AM","07/08/2020, 12:32 AM"
Dangerously,3:19,Charlie Puth,Nine Track Mind,Pop,0,1,29/01/2016,2016,2,"26/05/2024, 7:31 AM","30/04/2024, 9:16 PM"
Danza Kuduro (feat. Lucenzo),3:18,Don Omar,Fast Five (Original Motion Picture Soundtrack),Soundtrack,0,8,15/08/2010,2010,6,"17/06/2024, 10:40 AM","30/06/2023, 7:22 AM"
Daru Badnaam (with Pratik Studio),3:05,Param Singh & Kamal Kahlon,Daru Badnaam (with Pratik Studio) - Single,Punjabi Pop,1,10,24/12/2016,2016,11,"04/02/2024, 6:39 AM","08/08/2020, 1:04 AM"
Daryaa,4:22,"Amit Trivedi, Shellee, Ammy Virk & Shahid Mallya",Manmarziyaan (Original Motion Picture Soundtrack),Bollywood,0,11,11/08/2018,2018,9,"16/11/2023, 6:16 AM","04/04/2022, 4:10 AM"
Daylight,3:46,Maroon 5,Overexposed (Deluxe Version),Pop,1,7,20/06/2012,2012,6,"30/09/2024, 8:57 AM","06/08/2020, 9:59 PM"
The Dead Don't Die,3:51,Sturgill Simpson,The Dead Don't Die - Single,Country,0,2,07/06/2019,2019,2,"22/06/2024, 7:37 PM","12/02/2024, 5:06 PM"
Dear Alcohol,3:56,Dax,Dear Alcohol - Single,R&B/Soul,2,9,11/03/2022,2022,6,"03/10/2024, 8:31 AM","13/03/2022, 8:36 AM"
Death Route,3:38,Sidhu Moose Wala,PBX 1,Punjabi Pop,1,6,18/10/2018,2018,8,"21/08/2023, 5:51 PM","19/08/2022, 2:26 PM"
Deep Cover,4:08,Dr. Dre & Snoop Dogg,"Wesside Classic, Vol. 1",Old School Rap,0,2,04/12/2001,2001,5,"31/05/2024, 6:33 AM","10/05/2023, 10:12 PM"
Demons,2:58,Imagine Dragons,Night Visions (Deluxe),Alternative,1,3,04/09/2012,2012,6,"15/07/2022, 11:28 PM","05/08/2020, 11:32 PM"
Der Lagi Lekin,5:56,Shankar Mahadevan,Zindagi Na Milegi Dobara (Original Motion Picture Soundtrack),Bollywood,1,1,03/06/2011,2011,5,"24/11/2021, 11:29 AM","07/08/2020, 9:55 AM"
Desi Kalakaar,4:13,Yo Yo Honey Singh,Desi Kalakaar,Indian Pop,1,6,26/08/2014,2014,2,"30/06/2024, 1:52 PM","18/04/2022, 12:56 AM"
"DesiHIPHOP (feat. Raxstar, Humble the Poet, Raftaar, Roach Killa, Sarb Smooth & Badshah)",4:12,Manj Musik,"DesiHIPHOP (feat. Raxstar, Humble the Poet, Raftaar, Roach Killa, Sarb Smooth & Badshah) - Single",Punjabi Pop,1,2,30/04/2015,2015,8,"30/10/2022, 11:27 AM","12/04/2022, 10:34 AM"
Despacito,3:49,Luis Fonsi & Daddy Yankee,VIDA,Pop Latino,0,8,12/01/2017,2017,3,"14/07/2024, 8:01 PM","25/01/2023, 11:35 AM"
Desperation (feat. Jamie N Commons),3:57,Eminem,The Marshall Mathers LP2 (Expanded Edition),Hip-Hop/Rap,0,1,05/11/2013,2013,,"03/07/2024, 6:34 AM","22/06/2024, 7:08 AM"
"Deva Deva (From ""Brahmastra"")",4:39,"Pritam, Arijit Singh, Amitabh Bhattacharya & Jonita Gandhi","Deva Deva (From ""Brahmastra"") - Single",Bollywood,0,28,08/08/2022,2022,10,"09/09/2023, 6:34 AM","14/08/2022, 11:26 AM"
Dheere Dheere,3:32,Yo Yo Honey Singh,Dheere Dheere - Single,Indian Pop,0,,31/08/2015,2015,2,,"24/01/2024, 5:07 PM"
Die a Happy Man,3:48,Thomas Rhett,Tangled Up (Deluxe),Country,1,5,25/09/2015,2015,9,"16/09/2024, 6:19 PM","20/12/2020, 11:58 AM"
Different Man,2:56,Kane Brown & Blake Shelton,Different Man,Country,1,4,09/09/2022,2022,8,"04/08/2024, 7:15 AM","14/01/2023, 9:19 PM"
Dil Dhadakne Do,3:50,Joi Barua & Suraj Jagan,Zindagi Na Milegi Dobara (Original Motion Picture Soundtrack),Bollywood,1,5,03/06/2011,2011,9,"27/03/2023, 9:14 AM","07/08/2020, 9:55 AM"
Dil Dil Nazar,5:23,"Shaan, Neeraj & Shaznine",Maine Pyaar Kyun Kiya (Original Motion Picture Soundtrack),Bollywood,0,,24/05/2005,2005,2,,"12/02/2024, 5:06 PM"
Dil Diyan Gallan,4:21,Vishal & Shekhar & Atif Aslam,Tiger Zinda Hai (Original Motion Picture Soundtrack),Bollywood,1,1,02/12/2017,2017,1,"27/09/2024, 8:01 AM","27/09/2024, 7:57 AM"
"Dil Ko Tujhpe Pyaar (From ""Never Kiss Your Best Friend"")",2:58,Vishal Mishra,"Dil Ko Tujhpe Pyaar (From ""Never Kiss Your Best Friend"") - Single",Soundtrack,0,7,07/02/2020,2020,8,"28/12/2023, 5:27 AM","30/04/2022, 1:01 AM"
Dil Se Re,6:46,"A.R. Rahman, Anuradha & Anupama",Dil Se (Original Motion Picture Soundtrack),Bollywood,0,5,08/07/1998,1998,14,"04/11/2023, 10:11 PM","12/08/2022, 11:06 AM"
Dilli Waali Baatcheet,3:22,Raftaar,Mr. Nair,Soundtrack,1,10,22/08/2019,2019,7,"17/01/2024, 4:58 PM","12/08/2022, 11:15 AM"
Dive,3:58,Ed Sheeran,÷ (Deluxe),Pop,1,5,03/03/2017,2017,11,"20/04/2024, 10:32 AM","06/08/2020, 9:43 PM"
DNA.,3:06,Kendrick Lamar,DAMN.,Hip-Hop/Rap,0,7,14/04/2017,2017,14,"08/06/2024, 8:53 AM","12/04/2022, 11:39 AM"
Do Din,2:58,Darshan Raval,Do Din - Single,Indian Pop,1,10,09/09/2018,2018,5,"29/04/2024, 9:39 AM","07/08/2020, 12:48 AM"
Do for Love,4:42,2Pac,R U Still Down? (Remember Me),Hip-Hop/Rap,1,2,25/11/1997,1997,12,"15/10/2023, 5:35 PM","12/04/2022, 11:42 AM"
Do Ya Wanna Taste It,2:57,Wig Wam,Non Stop Rock'n Roll,Rock,0,5,18/01/2009,2009,8,"28/01/2024, 9:33 AM","16/01/2022, 9:37 AM"
Do You Know,3:32,Diljit Dosanjh,Do You Know - Single,Indian,2,13,24/09/2016,2016,12,"08/07/2023, 7:49 AM","07/08/2020, 12:43 AM"
Do You See This,3:09,Greg Pajer & Aris Archontis,Do You See This - Single,Pop,0,1,06/02/2017,2017,1,"26/06/2024, 2:33 PM","12/05/2024, 11:48 AM"
Does It Feel,3:39,Charlie Puth,Nine Track Mind Deluxe,Pop,1,1,29/01/2016,2016,,"03/10/2024, 8:34 AM","30/04/2024, 10:17 PM"
Dog Days Are Over,4:13,Florence + the Machine,Lungs,Alternative,0,2,22/11/2008,2008,1,"25/02/2024, 5:27 PM","06/05/2023, 10:45 AM"
Dollar,2:38,Sidhu Moose Wala,Dakuaan Da Munda (Original Motion Picture Soundtrack),Regional Indian,0,5,05/08/2018,2018,6,"02/12/2023, 5:31 AM","12/04/2022, 10:27 AM"
"Dollar (From ""Dakuaan Da Munda"")",2:38,Sidhu Moose Wala & Byg Byrd,"Dollar (From ""Dakuaan Da Munda"") - Single",Punjabi,1,1,05/08/2018,2018,5,"04/08/2024, 7:28 AM","04/05/2023, 12:53 PM"
Don't,3:40,Ed Sheeran,x (Deluxe Edition),Pop,1,2,20/06/2014,2014,9,"05/05/2023, 12:25 PM","06/08/2020, 8:44 PM"
Don't Get Much Better,4:26,"Jeremih, Ty Dolla $ign & Sage the Gemini",Fast & Furious 8: The Album,R&B/Soul,1,4,14/04/2017,2017,5,"19/04/2024, 9:52 AM","06/08/2020, 12:26 AM"
Don't Stop the Party (feat. TJR),3:26,Pitbull,Don't Stop the Party (feat. TJR) - Single,Pop,0,,25/09/2012,2012,1,,"16/05/2023, 11:57 AM"
Don't Wanna Know (feat. Kendrick Lamar),3:34,Maroon 5,Red Pill Blues (Deluxe),Pop,1,6,12/10/2016,2016,9,"17/01/2024, 6:16 PM","06/08/2020, 9:58 PM"
"Doobey (From ""Gehraiyaan"")",3:40,"OAFF, Savera, Lothika & Kausar Munir","Doobey (From ""Gehraiyaan"") - Single",Bollywood,1,6,24/01/2022,2022,8,"25/08/2023, 4:17 PM","12/08/2022, 11:05 AM"
Dooriyan,5:37,Mohit Chauhan,Love Aaj Kal (Original Motion Picture Soundtrack),Bollywood,1,5,31/07/2009,2009,11,"07/09/2024, 8:12 AM","09/09/2020, 10:40 AM"
Dooriyan (feat. Kaprila),3:35,Dino James,Dooriyan (feat. Kaprila) - Single,Indian Pop,0,20,06/12/2019,2019,14,"14/07/2024, 7:41 PM","01/03/2021, 1:39 PM"
Dope Shope,3:14,Yo Yo Honey Singh & Deep Money,International Villager,Indian Pop,0,6,11/11/2011,2011,,"11/04/2024, 3:30 PM","24/01/2024, 5:07 PM"
Drag Me Down,3:12,One Direction,Made In The A.M.,Pop,1,13,13/11/2015,2015,20,"04/07/2024, 6:48 AM","06/08/2020, 8:49 PM"
Dream Girl,2:43,Big Girl,The High Road,Americana,0,1,07/04/2023,2023,1,"30/09/2023, 6:26 AM","01/08/2023, 9:21 AM"
Dream On,4:28,Aerosmith,Aerosmith,Hard Rock,0,1,05/01/1973,1973,1,"19/04/2023, 12:10 AM","17/03/2023, 9:48 AM"
Drop 'Em Out,1:28,Wheeler Walker Jr.,Drop 'Em Out - Single,Country,0,1,01/01/2015,2015,6,"22/06/2024, 7:17 PM","03/03/2023, 7:49 PM"
Drop 'Em Out,1:34,Wheeler Walker Jr.,Redneck Shit,Country,0,2,12/02/2016,2016,3,"01/08/2024, 7:45 PM","12/02/2024, 5:06 PM"
Drop the World (feat. Eminem),3:49,Lil Wayne,Rebirth (Bonus Track Version),Hip-Hop/Rap,1,2,02/02/2010,2010,13,"11/11/2023, 1:34 PM","11/08/2020, 8:51 PM"
"Dua Karo (From ""Street Dancer 3D"")",4:29,"Arijit Singh, Bohemia & Sachin-Jigar","Dua Karo (From ""Street Dancer 3D"") - Single",Bollywood,0,8,09/01/2020,2020,11,"15/05/2023, 2:37 PM","11/08/2020, 9:35 PM"
Duniyaa,3:43,Akhil & Dhvani Bhanushali,Luka Chuppi (Original Motion Picture Soundtrack),Bollywood,0,42,22/02/2019,2019,20,"10/10/2023, 5:05 AM","07/08/2020, 12:45 AM"
Dura,3:20,Daddy Yankee,Dura - Single,Urbano latino,0,2,19/01/2018,2018,7,"08/07/2024, 7:35 AM","29/06/2023, 7:12 AM"
Dusk Till Dawn (feat. Sia) [Radio Edit],3:59,ZAYN,Dusk Till Dawn (feat. Sia) [Radio Edit] - Single,Pop,1,10,08/09/2017,2017,9,"14/07/2024, 5:43 AM","06/08/2020, 8:48 PM"
East Side Flow,3:44,Sidhu Moose Wala,East Side Flow - Single,Punjabi Pop,0,,17/03/2019,2019,5,,"04/05/2023, 12:54 PM"
Echo,4:55,Bad Meets Evil,Hell: The Sequel (Deluxe Edition),Hip-Hop/Rap,0,,01/01/2011,2011,6,,"12/08/2022, 11:16 AM"
Ek Ladki Ko Dekha Toh Aisa Laga,2:35,Rochak Kohli & Darshan Raval,Ek Ladki Ko Dekha Toh Aisa Laga (Original Motion Picture Soundtrack),Bollywood,1,57,08/01/2019,2019,15,"09/07/2023, 8:43 PM","31/08/2020, 10:30 AM"
Ek Zindagi,2:50,Taniskaa Sanghvi & Sachin-Jigar,Angrezi Medium (Original Motion Picture Soundtrack),Bollywood,1,14,20/02/2020,2020,15,"02/02/2024, 4:39 PM","06/08/2020, 9:05 PM"
El Amante,3:40,Nicky Jam,Fénix,Urbano latino,0,2,20/01/2017,2017,,"13/08/2024, 9:33 AM","12/05/2024, 11:18 AM"
"Elevate (feat. Denzel Curry, YBN Cordae, SwaVay & Trevor Rich)",3:39,DJ Khalil,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture) [Deluxe Edition],Soundtrack,0,4,14/12/2018,2018,7,"25/08/2024, 7:29 AM","23/11/2022, 8:34 PM"
Empire State of Mind (feat. Alicia Keys),4:37,JAY-Z & Alicia Keys,"The Hits Collection, Vol. 1 (International Version)",Hip-Hop/Rap,1,4,08/09/2009,2009,5,"10/07/2024, 7:18 PM","06/08/2020, 9:33 PM"
Enemies (feat. DaBaby),3:17,Post Malone,Hollywood's Bleeding,Hip-Hop/Rap,1,16,06/09/2019,2019,12,"19/09/2024, 9:59 AM","05/08/2020, 11:15 PM"
Enni Soni,4:19,Guru Randhawa & Tulsi Kumar,Saaho (Original Motion Picture Soundtrack),Bollywood,1,3,02/08/2019,2019,9,"06/10/2022, 10:32 AM","07/08/2020, 12:44 AM"
Escape (The Pina Colada Song),4:36,Rupert Holmes,'70s Pop #1's,R&B/Soul,1,1,21/09/1979,1979,2,"23/09/2021, 10:46 AM","01/10/2020, 8:43 PM"
euphoria,6:24,Kendrick Lamar,euphoria - Single,Hip-Hop/Rap,0,1,30/04/2024,2024,5,"15/06/2024, 11:21 AM","27/05/2024, 2:39 PM"
Every Breath You Take,4:11,The Police,The Very Best of Sting & The Police,Rock,0,3,06/01/1983,1983,4,"27/11/2023, 6:10 AM","28/05/2021, 7:01 PM"
Every Girl I Ever Loved,2:43,Noah Schnacky,Every Girl I Ever Loved - Single,Country,1,16,18/12/2020,2020,12,"22/06/2024, 7:07 PM","01/01/2021, 1:33 AM"
Everybody Wants to Rule the World,4:11,Tears for Fears,Songs from the Big Chair,Pop,0,,25/02/1985,1985,,,"06/08/2024, 4:31 PM"
Everyday,3:25,Logic & Marshmello,Bobby Tarantino II,Hip-Hop/Rap,1,3,02/03/2018,2018,8,"13/11/2023, 5:11 PM","05/08/2020, 11:12 PM"
(Everything I Do) I Do It for You,6:34,Bryan Adams,Waking Up the Neighbours,Rock,0,,17/06/1991,1991,5,,"19/08/2023, 8:25 PM"
Excuses,2:56,"AP Dhillon, Gurinder Gill & Intense",Excuses - Single,Worldwide,0,37,23/07/2020,2020,6,"18/05/2024, 3:51 PM","12/04/2022, 10:28 AM"
Ey Hairathe,6:09,"A.R. Rahman, Hariharan, Alka Yagnik & Mohammed Aslam",Guru (Original Motion Picture Soundtrack),Bollywood,0,1,16/11/2006,2006,17,"04/09/2021, 11:54 AM","06/08/2020, 9:39 PM"
Eyes Closed,3:15,Ed Sheeran,#NAME?,Pop,0,4,24/03/2023,2023,1,"07/08/2024, 7:22 PM","19/04/2024, 8:30 AM"
Eyes On You,3:02,Chase Rice,Lambs & Lions,Country,2,10,17/11/2017,2017,14,"28/06/2024, 8:31 AM","05/08/2020, 11:01 PM"
Fall Apart,3:33,Ricardo Ignacio,Without Regret,Hip-Hop/Rap,1,9,01/10/2020,2020,3,"15/06/2023, 3:23 PM","06/12/2020, 3:58 AM"
Fall In Love,3:52,Bailey Zimmerman,Fall In Love - Single,Country,0,,17/09/2022,2022,7,,"10/01/2023, 10:21 PM"
Fashion,2:41,Guru Randhawa & Rajat Nagpal,Fashion - Single,Indian Pop,1,10,20/09/2016,2016,12,"01/06/2024, 7:02 AM","07/08/2020, 12:45 AM"
Fast Car,4:25,Luke Combs,Gettin' Old,Country,0,2,24/03/2023,2023,1,"08/10/2024, 7:55 AM","13/09/2024, 8:45 AM"
Fast Car,4:57,Tracy Chapman,Tracy Chapman,Singer/Songwriter,0,2,05/04/1988,1988,1,"04/08/2024, 7:22 PM","18/06/2024, 5:04 PM"
Favorite Bitch (feat. Ty Dolla $ign),3:57,Eminem,Music To Be Murdered By - Side B (Deluxe Edition),Hip-Hop/Rap,0,,18/12/2020,2020,1,,"22/06/2024, 7:08 AM"
Feel This Moment (feat. Christina Aguilera),3:50,Pitbull,Global Warming (Deluxe Version),Pop,1,1,22/02/2012,2012,2,"20/10/2023, 4:31 PM","16/05/2023, 11:58 AM"
The Feeling (feat. Halsey),4:05,Justin Bieber,Purpose (Deluxe),Pop,1,1,13/11/2015,2015,9,"24/09/2024, 6:40 AM","06/08/2020, 8:37 PM"
Feeling Good,3:56,Michael Bublé,bublé! (Original Soundtrack From His NBC TV Special),Soundtrack,0,2,21/03/2019,2019,1,"04/07/2024, 7:45 AM","12/02/2024, 5:06 PM"
Feelings,3:15,Maroon 5,V (Deluxe),Pop,1,5,29/08/2014,2014,7,"13/08/2024, 10:29 AM","06/08/2020, 9:59 PM"
Filhall (feat. Akshay Kumar & Nupur Sanon),4:15,B. Praak,Filhall (feat. Akshay Kumar & Nupur Sanon) - Single,Indian Pop,0,,09/11/2019,2019,1,,"15/01/2024, 5:37 PM"
The Final Countdown,5:10,Europe,The Final Countdown (Expanded Edition),Hard Rock,0,2,14/02/1986,1986,4,"28/09/2024, 8:10 AM","06/04/2023, 1:19 PM"
Finally Found You (feat. Sammy Adams),3:41,Enrique Iglesias,S** AND LOVE,Latin,1,2,20/09/2012,2012,6,"21/02/2024, 9:24 AM","06/08/2020, 12:27 AM"
Fireball (feat. John Ryan),3:56,Pitbull,Globalization,Pop,1,3,23/07/2014,2014,1,"20/03/2024, 7:11 PM","16/05/2023, 11:57 AM"
Five More Minutes,4:01,Scotty McCreery,Seasons Change,Country,0,3,05/05/2017,2017,3,"04/10/2024, 4:09 PM","03/04/2023, 10:08 PM"
Fly Away,2:59,Tones And I,Welcome to the Madhouse,Alternative,1,4,13/11/2020,2020,9,"05/06/2023, 7:36 AM","14/08/2022, 11:25 AM"
Fooled Around and Fell In Love,4:36,Elvin Bishop,Throwback Tunes: 70s,Rock,0,2,01/01/1975,1975,2,"05/09/2023, 7:00 AM","05/05/2023, 5:09 PM"
For My Daughter,3:44,Kane Brown,Experiment Extended,Country,1,2,01/11/2019,2019,12,"22/06/2024, 7:54 PM","06/08/2020, 12:01 AM"
Forever,3:31,Lewis Capaldi,Divinely Uninspired To A Hellish Extent,Alternative,0,2,17/05/2019,2019,5,"22/09/2023, 5:55 AM","28/02/2023, 2:58 PM"
"Forever (with Drake, Kanye West & Lil Wayne)",5:58,"Drake, Kanye West, Lil Wayne & Eminem",Relapse: Refill,Hip-Hop/Rap,1,,15/05/2009,2009,7,,"22/08/2022, 12:29 PM"
Forget Me,3:23,Lewis Capaldi,Forget Me - Single,Alternative,0,3,09/09/2022,2022,7,"13/08/2024, 9:20 AM","28/02/2023, 2:57 PM"
Forgot About Dre (feat. Eminem),3:42,Dr. Dre,2001,Hip-Hop/Rap,1,26,16/11/1999,1999,7,"14/05/2024, 1:19 PM","10/09/2020, 10:42 AM"
Fortune Teller,3:26,Maroon 5,Overexposed (Deluxe Version),Pop,1,6,20/06/2012,2012,5,"06/10/2024, 8:03 AM","06/08/2020, 10:00 PM"
Found You,3:13,Kane Brown,Kane Brown (Deluxe Edition),Country,1,7,08/09/2017,2017,13,"22/06/2024, 8:43 PM","06/08/2020, 12:02 AM"
Freedom,2:43,Pharrell Williams,Freedom - Single,Pop,1,9,30/06/2015,2015,4,"30/08/2024, 7:27 AM","11/08/2020, 12:15 AM"
Fuck tha Police,5:15,N.W.A,Straight Outta Compton (Music from the Motion Picture),Hip-Hop/Rap,1,3,09/08/1988,1988,10,"05/10/2024, 8:37 AM","12/04/2022, 12:43 PM"
Fuck Wit Dre Day (And Everybody's Celebratin'),4:51,Dr. Dre,The Chronic,Hip-Hop/Rap,0,,15/12/1992,1992,,,"29/09/2024, 9:55 AM"
Fuck You (feat. Devin the Dude & Snoop Dogg),3:25,Dr. Dre,2001,Hip-Hop/Rap,0,,16/11/1999,1999,1,,"27/05/2024, 2:39 PM"
Fun (feat. Chris Brown),3:22,Pitbull,Globalization,Pop,1,,21/11/2014,2014,5,,"16/05/2023, 11:58 AM"
Fursat,4:37,Arjun Kanungo,Fursat - Single,Indian Pop,0,11,11/03/2016,2016,7,"02/07/2024, 8:42 AM","08/08/2020, 1:08 AM"
G.O.A.T.,3:44,Diljit Dosanjh,G.O.A.T.,Indian Pop,1,7,29/07/2020,2020,13,"04/10/2023, 4:59 AM","01/09/2020, 10:46 AM"
Gaal Ni Kadni,4:09,Parmish Verma,Gaal Ni Kadni - Single,Indian Pop,1,2,07/11/2017,2017,10,"04/05/2024, 9:43 AM","18/12/2020, 12:59 AM"
Gaddi,3:56,Raftaar & Deep Kalsi,Zero to Infinity,Indian Pop,1,5,30/05/2018,2018,10,"06/12/2023, 10:17 AM","05/04/2022, 12:08 PM"
Galway Girl,2:51,Ed Sheeran,÷ (Deluxe),Pop,1,5,03/03/2017,2017,6,"18/08/2024, 2:49 PM","06/08/2020, 9:43 PM"
Game,4:35,Shooter Kahlon & Sidhu Moose Wala,Game - Single,Indian Pop,1,6,03/09/2020,2020,16,"21/08/2023, 6:16 PM","20/09/2020, 11:13 AM"
Game Over,2:35,Karan Aujla,Way Ahead - EP,Hip-Hop/Rap,0,,10/05/2022,2022,2,,"18/09/2024, 1:04 PM"
Game Time (feat. Sage the Gemini),3:13,Flo Rida,Game Time (feat. Sage the Gemini) - Single,Hip-Hop/Rap,1,5,17/02/2017,2017,9,"17/01/2024, 5:55 PM","07/08/2020, 12:32 AM"
Gang Up,3:52,"Young Thug, 2 Chainz, Wiz Khalifa & PnB Rock",Fast & Furious 8: The Album,Hip-Hop/Rap,1,9,24/03/2017,2017,7,"02/09/2023, 7:01 PM","06/08/2020, 12:26 AM"
Gangnam Style,3:39,PSY,Gangnam Style - Single,Pop,0,1,15/07/2012,2012,,"16/09/2024, 6:23 PM","04/09/2024, 7:12 PM"
Gansta's Paradise,4:04,Generation Rap,Generation Rap Vol. 2,Pop,0,1,01/01/2008,2008,5,"10/07/2024, 6:58 AM","03/03/2023, 7:49 PM"
Gasolina (Dj Buddha Remix),4:42,"Daddy Yankee, Lil Jon, Noriega & Pitbull",Reggaeton!,Urbano latino,0,5,09/09/2005,2005,4,"21/08/2024, 11:17 AM","22/08/2022, 12:32 PM"
GDFR (feat. Sage the Gemini & Lookas),3:10,Flo Rida,My House,Hip-Hop/Rap,1,5,21/10/2014,2014,9,"26/11/2022, 8:58 PM","07/08/2020, 12:34 AM"
Gentleman,3:14,PSY,Gentleman - Single,Pop,0,,12/04/2013,2013,,,"04/09/2024, 7:13 PM"
Get Along,3:20,Kenny Chesney,Songs for the Saints,Country,1,6,15/06/2018,2018,12,"23/07/2023, 5:47 PM","09/02/2021, 7:03 PM"
Get Lucky (feat. Pharrell Williams & Nile Rodgers),6:10,Daft Punk,Random Access Memories,Pop,1,3,19/04/2013,2013,9,"27/06/2023, 8:50 AM","07/08/2020, 12:55 AM"
Girls Like You (feat. Cardi B),3:56,Maroon 5,Red Pill Blues (Deluxe),Pop,1,13,30/05/2018,2018,10,"31/03/2024, 7:38 AM","06/08/2020, 9:58 PM"
